地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,污水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速公路,高鐵,
高雄市三民區鼎力路３５７巷８號,708,30.87,公寓(5樓含以下無電梯),38,1,0,3,2,2,0,0,0.433913201,2.752359519,3.103788764,4.831908,4.624911868,2.0433,3.047763,0.9132,1.207365309,0.217868,0.488822338,1.6168,4.6376,3.785070547,8.679280768,8.861268637,7.9453,3.406805305,1.29900801,10.87608751,0.737598,2.579702,
高雄市前鎮區康定路１４４號,656,28.56,公寓(5樓含以下無電梯),37,1,0,3,2,2,0,0,2.179818791,5.431936277,5.823535949,4.19422,4.875104172,0.4974,5.092272,2.108,0.77323141,0.12732,0.674951914,0.4722,4.5978,3.300141243,3.106928894,7.088190807,2.0922,5.697480554,8.07369175,3.598181234,1.011361,11.01554,
高雄市左營區文學路２９０號十三樓之３,1120,48.75,住宅大樓(11層含以上有電梯),23,3,1,3,2,2,1,1,1.099634472,0.558700076,4.185155154,6.313539,6.815403368,0.2765,2.326704,1.4663,1.072132466,0.21404,1.00127438,0.6935,4.6366,3.200270638,6.427858018,11.1498897,9.5076,2.053703535,3.597612721,13.02457763,0.818817,0.304553,
高雄市楠梓區創新路７９９號十三樓,530,23.06,住宅大樓(11層含以上有電梯),2,3,1,2,1,1,1,1,2.478236042,2.466539775,11.37036156,13.59387,13.45606401,1.5749,1.860926,2.9979,2.076147518,1.162814,0.838452907,1.7951,2.8927,2.830990694,3.918951107,5.652390984,16.827,0.495919098,3.592650962,19.64571174,3.270343,7.309159,
高雄市鳳山區西湖街８９號,710,30.89,住宅大樓(11層含以上有電梯),16,2,1,2,2,1,1,1,1.357885435,2.205044471,6.625234737,3.5007,1.82629884,0.5975,5.818822,1.779,1.278025249,0.538372,0.967559423,0.6348,4.5907,4.260775428,3.626885962,1.333199958,7.7716,2.998340255,6.249243812,5.762269696,3.718424,10.11247,
高雄市鼓山區鼓山一路１３３巷１０號四樓,1288,55.99,住宅大樓(11層含以上有電梯),11,1,1,3,2,2,1,1,1.964723796,1.402212412,0.183642562,0.686996,5.786896893,0.7467,0.778965,1.0502,0.394822859,0.618703,2.420766994,0.446,5.2921,5.812653972,4.875956954,10.76715144,3.862,8.870764254,6.423781114,9.354572791,5.847983,7.179356,
高雄市楠梓區大學十七街３７８號十五樓,660,28.69,住宅大樓(11層含以上有電梯),6,3,1,2,1,1,1,1,0.655450073,4.256348705,7.893952862,10.39606,12.32458016,2.8036,3.985183,1.7526,1.693260266,0.824175,0.377275932,1.1298,4.9416,5.914244137,1.975026969,11.08330201,14.295,1.267933643,3.60539212,18.44835608,5.174421,5.29665,
高雄市三民區建昌路３０號三樓,1718,74.5,住宅大樓(11層含以上有電梯),9,1,1,4,2,3,1,1,2.082433705,1.182970042,0.901057871,2.353523,2.400438567,1.9892,0.553768,1.165,0.299111657,0.383452,0.329293465,0.472,2.2667,3.818947626,6.743218823,7.362388747,5.5396,4.246835434,1.738774027,8.528713014,2.244727,4.720208,
高雄市三民區明仁路１６之１號十一樓之２,1175,50.92,住宅大樓(11層含以上有電梯),27,3,1,4,2,2,1,1,1.425026324,2.409959678,1.934518758,3.768718,4.106810369,1.2233,2.176271,0.1907,0.322633053,0.095985,0.258325627,0.6814,3.9627,5.159340442,8.449820687,8.935386677,6.6977,4.552459725,1.839088983,10.2018475,2.083225,3.082131,
高雄市楠梓區翠屏路５９號九樓,645,27.93,住宅大樓(11層含以上有電梯),7,2,1,2,1,1,1,1,0.887738921,2.567105625,7.785088893,10.21634,11.41098459,1.216,3.728049,1.1668,0.300865567,0.290593,0.656224163,0.3462,3.2377,4.221657128,3.599758635,9.893870043,13.881,1.433928372,3.56699814,17.63112413,3.465117,4.391621,
